model,topic,article_dialect,target_dialect,precision,recall,f1
gpt_oss,artificial intelligence,AUS,US,0.6953,0.4968,0.5795
gpt_oss,artificial intelligence,AUS,UK,0.0,0.0,0.0
gpt_oss,artificial intelligence,AUS,AUS,0.7045,0.4998,0.5847
gpt_oss,artificial intelligence,AUS,US,0.6676,0.5146,0.5812
gpt_oss,artificial intelligence,AUS,UK,0.0,0.0,0.0
gpt_oss,artificial intelligence,AUS,AUS,0.6999,0.5237,0.5991
gpt_oss,artificial intelligence,US,US,0.7131,0.5976,0.6503
gpt_oss,artificial intelligence,US,UK,0.7532,0.5888,0.6609
gpt_oss,artificial intelligence,US,AUS,0.7499,0.5897,0.6602
gpt_oss,artificial intelligence,US,US,0.0,0.0,0.0
gpt_oss,artificial intelligence,US,UK,0.0,0.0,0.0
gpt_oss,artificial intelligence,US,AUS,0.6597,0.5188,0.5808
gpt_oss,artificial intelligence,UK,US,0.7081,0.5525,0.6207
gpt_oss,artificial intelligence,UK,UK,0.0,0.0,0.0
gpt_oss,artificial intelligence,UK,AUS,0.7267,0.5641,0.6352
gpt_oss,artificial intelligence,UK,US,0.6618,0.474,0.5523
gpt_oss,artificial intelligence,UK,UK,0.6148,0.4725,0.5343
gpt_oss,artificial intelligence,UK,AUS,0.0,0.0,0.0
gpt_oss,elections,AUS,US,0.7306,0.5503,0.6277
gpt_oss,elections,AUS,UK,0.6943,0.5097,0.5879
gpt_oss,elections,AUS,AUS,0.7189,0.5298,0.61
gpt_oss,elections,AUS,US,0.6615,0.485,0.5597
gpt_oss,elections,AUS,UK,0.0,0.0,0.0
gpt_oss,elections,AUS,AUS,0.6615,0.4798,0.5562
gpt_oss,elections,US,US,0.6558,0.4407,0.5272
gpt_oss,elections,US,UK,0.0,0.0,0.0
gpt_oss,elections,US,AUS,0.6022,0.4342,0.5046
gpt_oss,elections,US,US,0.6641,0.4787,0.5564
gpt_oss,elections,US,UK,0.6305,0.4652,0.5354
gpt_oss,elections,US,AUS,0.6139,0.4473,0.5175
gpt_oss,elections,UK,US,0.7809,0.8419,0.8102
gpt_oss,elections,UK,UK,0.7437,0.7688,0.756
gpt_oss,elections,UK,AUS,0.7296,0.814,0.7695
gpt_oss,elections,UK,US,0.7008,0.4915,0.5778
gpt_oss,elections,UK,UK,0.7399,0.5094,0.6034
gpt_oss,elections,UK,AUS,0.7081,0.49,0.5792
gpt_oss,energy,AUS,US,0.764,0.5839,0.6619
gpt_oss,energy,AUS,UK,0.7654,0.5642,0.6495
gpt_oss,energy,AUS,AUS,0.0,0.0,0.0
gpt_oss,energy,AUS,US,0.0,0.0,0.0
gpt_oss,energy,AUS,UK,0.6216,0.4351,0.5119
gpt_oss,energy,AUS,AUS,0.0,0.0,0.0
gpt_oss,energy,US,US,0.6656,0.4708,0.5515
gpt_oss,energy,US,UK,0.644,0.4698,0.5432
gpt_oss,energy,US,AUS,0.6406,0.4714,0.5431
gpt_oss,energy,US,US,0.627,0.4717,0.5384
gpt_oss,energy,US,UK,0.0,0.0,0.0
gpt_oss,energy,US,AUS,0.6352,0.4806,0.5472
gpt_oss,energy,UK,US,0.6993,0.5144,0.5928
gpt_oss,energy,UK,UK,0.6773,0.4928,0.5705
gpt_oss,energy,UK,AUS,0.6493,0.4862,0.556
gpt_oss,energy,UK,US,0.6551,0.4624,0.5421
gpt_oss,energy,UK,UK,0.0,0.0,0.0
gpt_oss,energy,UK,AUS,0.631,0.391,0.4828
gpt_oss,global economy,AUS,US,0.6472,0.4618,0.539
gpt_oss,global economy,AUS,UK,0.6128,0.4538,0.5215
gpt_oss,global economy,AUS,AUS,0.6323,0.4794,0.5453
