task,model,article_title,topic,outlet,article_dialect,file,summary,timestamp,lsr,total_dialect_tokens
unconstrained,gpt_oss,Will Trump's primetime speech help him challenge the midterm elections?,elections,bbc,UK,summary_articles/elections_bbc_001.json,"BBC.com and the new BBC App let users outside the UK stream BBC podcasts, Radio 4, and the World Service, and provide guidance on accessing other BBC stations.",2026-07-28T06:07:35.714060+00:00,0.0,0
unconstrained,gpt_oss,The battle for Charlie Kirk’s legacy,elections,bbc,UK,summary_articles/elections_bbc_002.json,"The episode examines whether young voters will stay Republican after activist Charlie Kirk’s death and if the fight over his legacy could cost Donald Trump votes in the 2024 midterms. Hearings begin to decide if prosecutors have enough evidence to charge alleged killer Tyler Robinson. The show notes far‑right conspiracy theories, Kirk’s past endorsements, and the GOP’s challenge retaining the youth vote amid a waning administration.",2026-07-28T06:07:39.918132+00:00,0.0,0
unconstrained,gpt_oss,Renewables company ZEN Energy enters voluntary administration,energy,abc_au,AUS,summary_articles/energy_abc_au_001.json,"South Australian renewable‑energy firm ZEN Energy, which held a decade‑long power contract with the state government and was involved in solar farms and battery projects, has entered voluntary administration after wholesale electricity volatility undermined its viability. Administrator McGrathNicol is assessing the business. The SA government says electricity supply to its facilities continues via AGL and a new supplier will be procured. ZEN previously withdrew from a Queensland renewable precinct.",2026-07-28T06:07:46.920889+00:00,0.0,0
unconstrained,gpt_oss,AI and Iran will speed up the energy transition,energy,abc_au,AUS,summary_articles/energy_abc_au_002.json,"Iran forced two ships to turn back, asserting control of the Strait of Hormuz, raising shipping costs and prompting greater reliance on renewables. Meanwhile Chinese firm Z.ai released the open‑weight AI model GLM‑5.2, matching ChatGPT at a fraction of the price, spurring wider AI use and higher electricity demand. Together, tighter oil transport and cheap AI are expected to accelerate the global energy transition.",2026-07-28T06:08:02.931283+00:00,0.0,0
unconstrained,gpt_oss,Putin Faces Crisis as Fuel Shortages Ripple Through Russia...,energy,ap_us,US,summary_articles/energy_ap_us_001.json,"Ukrainian drone strikes have hit more than 50 Russian oil refineries, depots and terminals since March, cutting June crude processing by 25% and gasoline output by 17%. About one‑third of refining capacity is offline, prompting fuel rationing, long queues and portable toilets at stations across the country, even in untouched Siberia. Putin acknowledged the shortages as “temporary.” Repairs will take months, so shortages are expected to persist through the summer.",2026-07-28T06:08:18.774948+00:00,0.0,0
unconstrained,gpt_oss,In Pamplona With The Bulls As Hemingway’s “The Sun Also Rises” Turns 100,energy,ap_us,US,summary_articles/energy_ap_us_002.json,"The 2024 San Fermin festival marks the 100th anniversary of Ernest Hemingway’s 1926 novel *The Sun Also Rises*, which made Pamplona’s bull runs famous worldwide. The celebration began with fireworks and will feature eight runs. Americans remain the largest foreign group of participants (16% in 2022). Chicago writer‑runner Bill Hillmann, gored three times, now teaches the book. Hemingway’s legacy is praised for popularizing the event but also criticized for glorifying bullfighting and spurring overtourism.",2026-07-28T06:08:35.085153+00:00,1.0,2
unconstrained,gpt_oss,"Saudis must recognise Israel for nuclear deal, says Trump",energy,bbc,UK,summary_articles/energy_bbc_001.json,"President Trump said the US‑Saudi civil nuclear agreement will only be approved if Saudi Arabia joins the Abraham Accords and recognises Israel. The White House confirmed the condition, noting the deal involves peaceful nuclear cooperation and safeguards and will go to Congress for review, with IAEA verification. Saudi officials have not responded, while experts warn of proliferation risks; Israel welcomed the prospect of Saudi recognition.",2026-07-28T06:08:46.070308+00:00,0.0,1
unconstrained,gpt_oss,Ready to 'conquer Earth' - Joshua embraces comeback spotlight,energy,bbc,UK,summary_articles/energy_bbc_002.json,"Anthony Joshua (36) will return to the ring in Jeddah on Saturday, facing Albanian‑born heavyweight Kristian Prenga in his first fight since the December car crash in Nigeria that killed two close friends. A win would move Joshua toward a potential all‑British showdown with Tyson Fury, provided Fury also wins his bout in Thailand. Joshua appeared relaxed at the press conference, thanked fans and said he’s “ready to conquer Earth.”",2026-07-28T06:08:54.460540+00:00,0.0,0
unconstrained,gpt_oss,Why hasn't the global economy completely collapsed?,global economy,abc_au,AUS,summary_articles/global_economy_abc_au_001.json,"The global economy avoided collapse after the U.S. attack on Iran, with oil prices slipping to about $70 a barrel but staying above pre‑crisis levels. A 3.7 million‑barrel‑per‑day surplus and 8.2 billion barrels of storage, plus China cutting imports 40 %, eased pressure. Countries diversified supply—U.S., Venezuela, Brazil, Singapore, and Gulf reroutes—while lower energy intensity and renewables helped absorb the shock. Poorer nations lack such buffers, prompting concerns about future energy security.",2026-07-28T06:09:10.024556+00:00,0.0,0
unconstrained,gpt_oss,Report finds Brisbane has country's best nightlife — if it's Thursday,global economy,abc_au,AUS,summary_articles/global_economy_abc_au_002.json,,2026-07-28T06:09:16.819032+00:00,0.0,0
unconstrained,gpt_oss,SUPREME LEADER WARNING,global economy,ap_us,US,summary_articles/global_economy_ap_us_001.json,,2026-07-28T06:09:32.680141+00:00,0.0,0
unconstrained,gpt_oss,"Iran's demands over the Strait of Hormuz would set a dangerous precedent, Rubio warns Asian leaders",global economy,ap_us,US,summary_articles/global_economy_ap_us_002.json,U.S. Secretary of State Marco Rubio told ASEAN leaders in Manila that Iran’s demand,2026-07-28T06:09:47.728955+00:00,1.0,1
unconstrained,gpt_oss,Why WhatsApp usernames could upset Somalia's anti-terror fight,global economy,bbc,UK,summary_articles/global_economy_bbc_001.json,"Somalia’s communications minister, Ahmed Osman Dirie, warned that WhatsApp’s upcoming username feature could hinder the country’s fight against al‑Shabab and increase financial fraud, as it would make users harder to trace than phone‑number‑linked accounts. He has asked Meta for guarantees that the change won’t erode digital traceability. WhatsApp says the feature isn’t live yet, will still require a phone number and includes anti‑scam safeguards, echoing similar concerns raised by India.",2026-07-28T06:09:58.156041+00:00,0.0,0
unconstrained,gpt_oss,Houthi attacks raise fears of wider Middle East conflict and more global economic damage,global economy,bbc,UK,summary_articles/global_economy_bbc_002.json,"Yemen’s Iran‑backed Houthi fighters have attacked and warned off ships in the Red Sea, forcing vessels to avoid the Bab el‑Mandeb strait and threatening a key Europe‑Asia trade route. The attacks come amid 13 nights of U.S. airstrikes on Iranian targets, ongoing U.S.–Iran conflict, and a new U.S.‑backed Saudi civilian nuclear programme that raises regional arms‑race fears, heightening economic and security risks across the Middle East.",2026-07-28T06:10:11.771160+00:00,0.0,1
unconstrained,gpt_oss,Expanding Sydney's tree canopy could save $1b a year in health costs,public health,abc_au,AUS,summary_articles/public_health_abc_au_001.json,,2026-07-28T06:10:21.777580+00:00,0.0,0
unconstrained,gpt_oss,Concerns for lost health services under sale to Calvary,public health,abc_au,AUS,summary_articles/public_health_abc_au_002.json,"Healthscope is selling Hobart Private Hospital to Catholic provider Calvary, which would own all private overnight hospitals in Hobart and Launceston. Doctors warn Calvary’s policies could end abortions, gender‑affirming surgery, IVF and some contraceptive procedures currently offered at Hobart Private. Tasmania’s health minister says the department will work to prevent any service gap, while the ACCC is set to rule on the sale by July 28.",2026-07-28T06:10:36.245519+00:00,0.0,0
unconstrained,gpt_oss,RUNS FOR THE BORDER: Lettuce at TACO BELL in 5 states confirmed as a source of diarrhea parasite...,public health,ap_us,US,summary_articles/public_health_ap_us_001.json,"Federal officials have linked shredded iceberg lettuce from Mexico, served at Taco Bell restaurants in Indiana, Kentucky, Michigan, Ohio and West Virginia, to a multistate Cyclospora outbreak. The CDC warned consumers not to eat the lettuce, and the FDA traced it to a single supplier, Taylor Fresh Foods (Taylor Farms). Taco Bell halted use of the product, and the supplier is removing the lettuce from the U.S. market. The outbreak has produced over 5,000 cases in Michigan, more than 2,000 elsewhere, over 100 hospitalizations and no deaths.",2026-07-28T06:10:48.981927+00:00,1.0,1
unconstrained,gpt_oss,ICE officer in Maine shooting has history of violent behavior...,public health,ap_us,US,summary_articles/public_health_ap_us_002.json,"ICE officer David Brouillette, a 37‑year‑old Army veteran, shot and killed 25‑year‑old Colombian Johan Sebastián Durán Guerrero in Biddeford, Maine, claiming the vehicle tried to flee.",2026-07-28T06:11:09.085641+00:00,0.0,0
unconstrained,gpt_oss,How we know this Mitch McConnell photo isn't AI-generated,public health,bbc,UK,summary_articles/public_health_bbc_001.json,"A photo of Senator Mitch McConnell posted after his fall and mild pneumonia has sparked claims it was AI‑generated, but no evidence supports that. The 84‑year‑old was hospitalized and later shown recovering, ending weeks of health speculation. BBC Verify’s Jake Horton explained why the image is genuine. The segment was produced by Sophie Bott, filmed by Meiying Wu, with graphics by Sally Nicholls.",2026-07-28T06:11:14.456911+00:00,1.0,1
unconstrained,gpt_oss,Legionnaires' outbreak hits New York as officials rush to test water towers,public health,bbc,UK,summary_articles/public_health_bbc_002.json,,2026-07-28T06:11:24.580701+00:00,0.0,0
unconstrained,gemini,Hikers lost near Kosciuszko found by artificial intelligence drone,artificial intelligence,abc_au,AUS,summary_articles/artificial_intelligence_abc_au_001.json,"Two hikers lost in Kosciuszko National Park were rescued by Fire and Rescue NSW using an AI-powered drone. This marked the first successful use of the drone's AI detection system by FRNSW to locate a missing hiker. The drone used thermal imaging to find the men 500 metres off track and communicate with them, significantly reducing search time and rescuer risk. FRNSW plans to improve the technology for future emergencies.",2026-07-28T08:11:12.901643+00:00,0.0,1
unconstrained,gpt_oss,Hikers lost near Kosciuszko found by artificial intelligence drone,artificial intelligence,abc_au,AUS,summary_articles/artificial_intelligence_abc_au_001.json,"Two hikers in their early 20s went missing at 7 p.m. on Tuesday while on the Dead Horse Gap track, 35 km southwest of Jindabyne in Kosciuszko National Park. Fire and Rescue NSW deployed an AI‑driven remote‑piloted drone with thermal imaging, which located the men about 500 m off the trail. Using the drone’s speaker, rescuers guided them out within five hours; they suffered mild exposure and declined treatment. This was the first successful FRNSW rescue using the drone’s AI detection system.",2026-07-28T08:11:15.220788+00:00,0.0,0
unconstrained,gemini,Fake photos of PNG celebrity being used in Facebook scams,artificial intelligence,abc_au,AUS,summary_articles/artificial_intelligence_abc_au_002.json,"Papua New Guinea is preparing new laws to criminalise AI deepfakes, voice cloning, and digital impersonation, prompted by victims like Jennifer Baing who experienced AI-generated scams.",2026-07-28T08:11:19.949816+00:00,0.0,1
unconstrained,gpt_oss,Fake photos of PNG celebrity being used in Facebook scams,artificial intelligence,abc_au,AUS,summary_articles/artificial_intelligence_abc_au_002.json,"Papua New Guinea is preparing amendments to its Cybercrime Code Act to criminalise malicious AI use, including deepfakes, voice‑cloning, AI‑generated sexual content and digital impersonation. The move follows former TV host Jennifer Baing’s experience of AI‑fabricated lingerie photos used in fake giveaways, which she says threaten her reputation and safety. Police, with only seven cyber officers, report a surge in AI‑related scams, while Pacific neighbours are also tightening cybercrime laws and urging community awareness and victim support.",2026-07-28T08:11:22.128922+00:00,0.0,2
unconstrained,gemini,Amazon Dropped The OpenAI/Sam Altman Movie. Now Another Distributor Has Picked It Up.,artificial intelligence,ap_us,US,summary_articles/artificial_intelligence_ap_us_001.json,"Indie distributor Neon acquired Luca Guadagnino's film ""Artificial,"" about Sam Altman and OpenAI, after Amazon MGM Studios dropped it. Starring Andrew Garfield as Altman, the nearly complete $40 million film was dropped despite Amazon's recent $50 billion investment in OpenAI. Neon plans to release ""Artificial"" this year, aiming for the Oscar race.",2026-07-28T08:11:26.460371+00:00,0.0,0
unconstrained,gpt_oss,Amazon Dropped The OpenAI/Sam Altman Movie. Now Another Distributor Has Picked It Up.,artificial intelligence,ap_us,US,summary_articles/artificial_intelligence_ap_us_001.json,,2026-07-28T08:11:29.473082+00:00,0.0,0
unconstrained,gemini,Trump expands a voluntary pledge to protect consumers from high utility bills from AI data centers,artificial intelligence,ap_us,US,summary_articles/artificial_intelligence_ap_us_002.json,President Trump expanded a voluntary pledge for governors and electricity companies to protect consumers from high utility bills due,2026-07-28T08:11:33.855652+00:00,0.0,0
unconstrained,gpt_oss,Trump expands a voluntary pledge to protect consumers from high utility bills from AI data centers,artificial intelligence,ap_us,US,summary_articles/artificial_intelligence_ap_us_002.json,"President Donald Trump broadened a voluntary “Ratepayer Protection Pledge” to keep U.S. consumers from higher electricity bills caused by AI data‑center growth. The White House says 23 governors and at least 187 firms—including major utilities such as NextEra, Duke Energy and data‑center developers like Equinix—have signed. Trump claims the pledge will lower household bills, though analysts warn electricity demand could push rates up 15‑40% by 2030. Bipartisan opposition has spurred state bans and a House Energy Committee bill to make data centers cover grid‑upgrade costs.",2026-07-28T08:11:36.263614+00:00,1.0,3
unconstrained,gemini,China's Moonshot AI claims Kimi K3 can rival OpenAI and Anthropic,artificial intelligence,bbc,UK,summary_articles/artificial_intelligence_bbc_001.json,"Chinese AI start-up Moonshot has unveiled Kimi K3, a 2.8 trillion-parameter model, claiming it rivals top American firms like OpenAI and Anthropic. Set for open-source release on July 27, Kimi K3 is touted as the world's first open-source model in its class, capable of coding, knowledge work, and reasoning. Third-party evaluations show it performing on par with leading US models, suggesting China is rapidly narrowing the AI capabilities gap.",2026-07-28T08:11:40.336329+00:00,0.0,0
unconstrained,gpt_oss,China's Moonshot AI claims Kimi K3 can rival OpenAI and Anthropic,artificial intelligence,bbc,UK,summary_articles/artificial_intelligence_bbc_001.json,"Chinese startup Moonshot AI announced Kimi K3, a 2.8‑trillion‑parameter model to be released open‑source on 27 July, making it the first 3‑trillion‑parameter model freely",2026-07-28T08:11:43.093901+00:00,0.0,0
unconstrained,gemini,Will AI help you do your job or replace you?,artificial intelligence,bbc,UK,summary_articles/artificial_intelligence_bbc_002.json,"AI is rapidly advancing, capable of complex tasks like software development and financial analysis, raising concerns about job displacement. A Stanford analysis",2026-07-28T08:11:47.595280+00:00,0.0,0
