file,model,topic,article_dialect,target_dialect,score,reasoning
summary_articles/artificial_intelligence_abc_au_001.json,gpt_oss,artificial intelligence,AUS,US,7,"The summary captures the main facts but incorrectly converts the distance from 500 metres to 500 feet, a factual inaccuracy."
summary_articles/artificial_intelligence_abc_au_001.json,gpt_oss,artificial intelligence,AUS,UK,1,"The summary is empty, providing no information about the article, thus completely inaccurate and off-topic."
summary_articles/artificial_intelligence_abc_au_001.json,gpt_oss,artificial intelligence,AUS,AUS,9,"The summary accurately captures the key facts—AI‑drone rescue, location, duration, technology details, and outcome—while remaining concise and without errors."
summary_articles/artificial_intelligence_abc_au_002.json,gpt_oss,artificial intelligence,AUS,US,5,"The summary captures the core story about PNG drafting AI deepfake laws and Baing's case, but adds a fabricated detail about a seven‑officer unit and omits broader regional context, leading to notable inaccuracies."
summary_articles/artificial_intelligence_abc_au_002.json,gpt_oss,artificial intelligence,AUS,UK,1,"The provided summary is absent, offering no information to assess accuracy or completeness."
summary_articles/artificial_intelligence_abc_au_002.json,gpt_oss,artificial intelligence,AUS,AUS,4,"The summary captures the general theme but introduces several details not present in the original article, leading to notable inaccuracies."
summary_articles/artificial_intelligence_ap_us_001.json,gpt_oss,artificial intelligence,US,US,8,"Accurate and concise, covering key facts, but omits some details like the bidding process and additional cast members."
summary_articles/artificial_intelligence_ap_us_001.json,gpt_oss,artificial intelligence,US,UK,8,"Accurate and concise, covering key facts, but omits minor details like Elon Musk cameo and Amazon's partnership with OpenAI"
summary_articles/artificial_intelligence_ap_us_001.json,gpt_oss,artificial intelligence,US,AUS,8,"Accurate and concise, covering key facts, but omits a few details like Neon’s awards track record and Amazon’s rationale for dropping the film."
summary_articles/artificial_intelligence_ap_us_002.json,gpt_oss,artificial intelligence,US,US,1,"No summary text was provided to evaluate, making it impossible to assess accuracy or completeness"
summary_articles/artificial_intelligence_ap_us_002.json,gpt_oss,artificial intelligence,US,UK,1,"No summary was provided, making it impossible to assess accuracy or completeness."
summary_articles/artificial_intelligence_ap_us_002.json,gpt_oss,artificial intelligence,US,AUS,2,"The summary contains several factual errors and additions not present in the article, such as references to Australia, specific percentage forecasts, and a House bill, making it largely inaccurate."
